Mic1,Mic2,Mic3,time
875,2119,1636,2022-05-01T00:00:00
915,1090,1578,2022-05-01T00:01:00
880,1331,1935,2022-05-01T00:02:00
1030,1265,1119,2022-05-01T00:03:00
833,1635,1187,2022-05-01T00:04:00
804,1485,1172,2022-05-01T00:05:00
734,1264,1328,2022-05-01T00:06:00
1008,1359,1182,2022-05-01T00:07:00
980,1602,1752,2022-05-01T00:08:00
1046,1476,2123,2022-05-01T00:09:00
1152,1500,1867,2022-05-01T00:10:00
849,1507,1429,2022-05-01T00:11:00
847,1464,1543,2022-05-01T00:12:00
753,1623,1642,2022-05-01T00:13:00
723,1149,1709,2022-05-01T00:14:00
736,1357,1854,2022-05-01T00:15:00
869,1216,1550,2022-05-01T00:16:00
803,1478,1789,2022-05-01T00:17:00
735,1575,1488,2022-05-01T00:18:00
843,1328,1694,2022-05-01T00:19:00
883,1275,1517,2022-05-01T00:20:00
830,1296,1464,2022-05-01T00:21:00
913,1188,1290,2022-05-01T00:22:00
1106,1577,1112,2022-05-01T00:23:00
982,1428,1338,2022-05-01T00:24:00
1019,1477,1278,2022-05-01T00:25:00
881,1425,1381,2022-05-01T00:26:00
942,1273,1206,2022-05-01T00:27:00
1069,1173,1063,2022-05-01T00:28:00
1038,1407,1377,2022-05-01T00:29:00
800,1417,1354,2022-05-01T00:30:00
1027,1384,1110,2022-05-01T00:31:00
880,1179,1150,2022-05-01T00:32:00
960,1295,1212,2022-05-01T00:33:00
1000,1150,1308,2022-05-01T00:34:00
862,1186,1395,2022-05-01T00:35:00
1136,1192,1101,2022-05-01T00:36:00
1035,1248,891,2022-05-01T00:37:00
996,1071,1147,2022-05-01T00:38:00
1242,1220,1026,2022-05-01T00:39:00
941,1188,1108,2022-05-01T00:40:00
964,1485,1010,2022-05-01T00:41:00
822,1302,937,2022-05-01T00:42:00
1149,1145,1004,2022-05-01T00:43:00
980,1357,1048,2022-05-01T00:44:00
983,1293,1120,2022-05-01T00:45:00
989,1515,939,2022-05-01T00:46:00
1141,1202,968,2022-05-01T00:47:00
965,1321,1000,2022-05-01T00:48:00
1049,1194,1315,2022-05-01T00:49:00
1109,1305,1206,2022-05-01T00:50:00
871,1311,1039,2022-05-01T00:51:00
1023,1298,1144,2022-05-01T00:52:00
871,1270,1052,2022-05-01T00:53:00
1013,1287,934,2022-05-01T00:54:00
868,1333,1043,2022-05-01T00:55:00
1016,1554,1253,2022-05-01T00:56:00
1036,1489,1009,2022-05-01T00:57:00
943,1625,957,2022-05-01T00:58:00
1010,1237,1122,2022-05-01T00:59:00
846,1264,868,2022-05-01T01:00:00
879,1204,899,2022-05-01T01:01:00
1061,1046,825,2022-05-01T01:02:00
1171,940,884,2022-05-01T01:03:00
945,1227,1035,2022-05-01T01:04:00
1015,1209,1027,2022-05-01T01:05:00
1103,1256,903,2022-05-01T01:06:00
1047,1342,963,2022-05-01T01:07:00
899,1128,1336,2022-05-01T01:08:00
967,1098,1122,2022-05-01T01:09:00
966,1186,1192,2022-05-01T01:10:00
1029,1066,879,2022-05-01T01:11:00
968,1062,908,2022-05-01T01:12:00
766,1064,817,2022-05-01T01:13:00
814,1258,1003,2022-05-01T01:14:00
1190,1236,1002,2022-05-01T01:15:00
